time	V(pulse)	V(ref)	V(v+)
1.893186602062491e-07	2.841567e-03	2.834117e-03	3.297166e+00
1.893251212991847e-07	2.844413e-03	2.834117e-03	3.297166e+00
1.893325033514343e-07	2.846735e-03	2.834116e-03	3.297166e+00
1.893424099590404e-07	2.848039e-03	2.834116e-03	3.297166e+00
1.893484554432361e-07	2.847604e-03	2.834116e-03	3.297166e+00
1.893528295871094e-07	2.846468e-03	2.834116e-03	3.297166e+00
1.893572043998733e-07	2.844734e-03	2.834116e-03	3.297166e+00
1.893628162928495e-07	2.841966e-03	2.834116e-03	3.297166e+00
1.893698374008509e-07	2.838221e-03	2.834116e-03	3.297166e+00
1.893786189636266e-07	2.833958e-03	2.834116e-03	3.297166e+00
1.893876882841744e-07	2.830600e-03	2.834116e-03	3.297166e+00
1.893915751447950e-07	2.829770e-03	2.834116e-03	3.297166e+00
1.893960403157379e-07	2.829495e-03	2.834116e-03	3.297166e+00
1.894005924782288e-07	2.829796e-03	2.834116e-03	3.297166e+00
1.894061861940312e-07	2.830848e-03	2.834117e-03	3.297166e+00
1.894117963036525e-07	2.832486e-03	2.834117e-03	3.297166e+00
1.894204641117064e-07	2.835567e-03	2.834117e-03	3.297166e+00
1.894273460927770e-07	2.838079e-03	2.834117e-03	3.297166e+00
1.894321182944827e-07	2.839668e-03	2.834117e-03	3.297166e+00
1.894363773771805e-07	2.840847e-03	2.834117e-03	3.297166e+00
1.894405592635566e-07	2.841699e-03	2.834117e-03	3.297166e+00
1.894468134685128e-07	2.842423e-03	2.834117e-03	3.297166e+00
1.894537426900987e-07	2.842579e-03	2.834117e-03	3.297166e+00
1.894597823264259e-07	2.842165e-03	2.834117e-03	3.297166e+00
1.894667298400223e-07	2.841208e-03	2.834116e-03	3.297166e+00
1.894724292244947e-07	2.840195e-03	2.834116e-03	3.297166e+00
1.894773977992690e-07	2.839233e-03	2.834116e-03	3.297166e+00
1.894825134745874e-07	2.838278e-03	2.834116e-03	3.297166e+00
1.894890672999952e-07	2.837231e-03	2.834117e-03	3.297166e+00
1.894962343182551e-07	2.836401e-03	2.834117e-03	3.297166e+00
1.895038559412871e-07	2.835941e-03	2.834117e-03	3.297166e+00
1.895116533001451e-07	2.835878e-03	2.834117e-03	3.297166e+00
1.895160955122600e-07	2.836038e-03	2.834117e-03	3.297166e+00
1.895213635707577e-07	2.836401e-03	2.834117e-03	3.297166e+00
1.895264774040467e-07	2.836854e-03	2.834117e-03	3.297166e+00
1.895339616984168e-07	2.837588e-03	2.834117e-03	3.297166e+00
1.895416892126568e-07	2.838295e-03	2.834117e-03	3.297166e+00
1.895496319971791e-07	2.838862e-03	2.834117e-03	3.297166e+00
1.895559129339510e-07	2.839141e-03	2.834117e-03	3.297166e+00
1.895603432912365e-07	2.839221e-03	2.834117e-03	3.297166e+00
1.895643638656041e-07	2.839206e-03	2.834117e-03	3.297166e+00
1.895706098636849e-07	2.839080e-03	2.834117e-03	3.297166e+00
1.895774790187057e-07	2.838882e-03	2.834117e-03	3.297166e+00
1.895866183877749e-07	2.838623e-03	2.834117e-03	3.297166e+00
1.895953372935663e-07	2.838437e-03	2.834117e-03	3.297166e+00
1.896004939079710e-07	2.838363e-03	2.834117e-03	3.297166e+00
1.896053306650665e-07	2.838302e-03	2.834117e-03	3.297166e+00
1.896102848193543e-07	2.838223e-03	2.834117e-03	3.297166e+00
1.896170932390935e-07	2.838080e-03	2.834117e-03	3.297166e+00
1.896245795998913e-07	2.837914e-03	2.834117e-03	3.297166e+00
1.896332766374764e-07	2.837783e-03	2.834117e-03	3.297166e+00
